poll_id,numeric_grade,pollscore,methodology,transparency_score,duration,sample_size,population,hypothetical,score
1,8.75,0.4,level1,7.3,134,100,v,FALSE,47.99
2,6.36,4,level3,5,296,100,rv,FALSE,47.32
3,9.97,3.5,level3,8,68,100,v,FALSE,52.15
4,10,2,level1,4.5,331,5496,a,TRUE,37.81
5,6.18,2.5,level3,7.1,275,100,lv,FALSE,53.53
6,10,3.2,level1,7.9,217,4295,rv,FALSE,51.87
7,10,3.5,level4,7.8,240,12927,rv,TRUE,53.7
8,10,0,level2,5.8,203,210,lv,FALSE,54.83
9,5.41,4.7,level3,7,138,280,lv,FALSE,49.09
10,6.14,0.4,level4,2.8,149,5394,v,FALSE,54.03
11,2.98,0,level3,6.7,123,1127,lv,FALSE,50.91
12,8.3,3.9,level3,5.8,307,100,a,FALSE,47.27
13,7.72,0.2,level1,6.9,243,100,a,FALSE,44.85
14,7.03,2.2,level4,6.2,172,1667,rv,FALSE,52.75
15,3.94,0.5,level3,7.9,69,100,v,TRUE,39.03
16,5.74,0,level4,5.7,215,3162,lv,TRUE,50.59
17,10,1.8,level1,7.1,82,2610,lv,TRUE,40.12
18,2.95,3.5,level1,5.8,98,7690,v,FALSE,41.23
19,5.04,3,level1,7,365,4201,lv,TRUE,40.69
20,1.05,1.5,level4,4.2,43,6882,a,FALSE,45.18
21,1.7,2.5,level3,6.9,95,1548,rv,FALSE,44.05
22,5.52,2.4,level1,5.4,125,5280,v,FALSE,44.77
23,5.1,2.5,level4,6.6,123,100,rv,TRUE,40.43
24,4.2,1.8,level1,4.7,70,432,v,TRUE,28.8
25,3.57,3,level2,6.8,164,1573,lv,FALSE,46.01
26,5.88,0.9,level1,10,79,100,rv,TRUE,36.77
27,10,3.1,level4,8.3,317,100,rv,FALSE,58.37
28,5.24,2,level3,7.5,195,100,lv,FALSE,52.69
29,1.53,2,level1,5.1,269,100,rv,FALSE,38.32
30,2.39,3.6,level1,6.5,42,1678,v,TRUE,26.71
31,0,1.9,level3,5.8,182,5192,lv,FALSE,49.72
32,0,1,level4,3,238,100,v,FALSE,44.38
33,3.68,0.7,level1,5.6,193,1460,v,FALSE,41.51
34,2.76,3.5,level1,5.5,185,100,lv,FALSE,40.61
35,2.07,0,level1,5.9,80,5874,a,FALSE,40.77
36,10,1.9,level2,5.2,120,100,v,FALSE,48.5
37,10,2.8,level1,7,143,8853,a,TRUE,40.63
38,10,0.4,level3,8.9,103,1409,a,TRUE,43.53
39,9.77,2.5,level2,7.7,259,10499,rv,FALSE,58.56
40,6.02,3.5,level3,7,359,2874,v,FALSE,50.11
41,2.49,0,level2,6.1,315,252,lv,FALSE,48.74
42,2.26,1.2,level3,6.1,225,6260,a,TRUE,37.41
43,4.68,5.1,level4,7.7,171,3850,a,FALSE,49.99
44,10,1.5,level1,7.9,241,100,a,FALSE,46.81
45,9.33,1.1,level1,5.1,104,4711,a,TRUE,36.37
46,10,1.2,level2,7.4,209,4354,v,FALSE,56.29
47,5.92,1.8,level4,4.2,200,3065,a,FALSE,51.32
48,0.45,2.8,level4,4.2,15,100,a,FALSE,39
49,7.97,1.4,level2,8.4,365,949,lv,FALSE,55.62
50,5.81,2.8,level3,6.1,50,5594,lv,FALSE,53.61
51,5.45,3.6,level4,6.1,15,6823,v,TRUE,42.1
52,10,3,level1,7.5,183,2689,lv,TRUE,40.33
53,10,3.6,level4,5.7,194,100,lv,TRUE,47.04
54,5.75,1.3,level2,4.7,182,4969,lv,FALSE,51.97
55,0,2.3,level3,6.2,197,1949,a,TRUE,29.87
56,5.52,3.5,level2,3.4,65,6887,a,FALSE,41.07
57,10,2.6,level1,5.3,242,100,lv,FALSE,49.12
58,8.16,2.8,level4,5.8,321,100,a,FALSE,51.37
59,7.76,2.6,level1,3.8,99,3863,v,TRUE,34.95
60,10,2.8,level3,6.3,214,100,lv,FALSE,55.64
61,5.99,2.5,level4,4.9,156,14943,rv,TRUE,46.95
62,5.28,0.9,level1,7.7,177,100,lv,FALSE,47.85
63,5.65,2.8,level1,5.6,281,3436,rv,TRUE,36.26
64,9.6,1.8,level2,4.4,211,100,a,TRUE,35.31
65,5.59,4.7,level4,6.4,365,12225,a,FALSE,54.94
66,9.71,1.7,level3,5.9,150,4829,rv,FALSE,56.41
67,1.75,2.7,level1,6.1,331,100,a,FALSE,36.46
68,1.58,0,level4,6.3,137,2506,lv,TRUE,42.25
69,7.18,1.5,level1,5.4,160,100,a,FALSE,40.68
70,9.71,1.3,level3,5.5,150,100,rv,FALSE,52.41
71,5.04,4.3,level1,7,212,100,rv,FALSE,40.86
72,4.36,2.3,level1,8.4,230,100,lv,FALSE,46.76
73,0,2.7,level3,3.1,198,6907,rv,FALSE,43.38
74,8.16,3,level1,5.8,243,3531,v,FALSE,48.39
75,3.06,1.7,level3,7.5,105,100,a,TRUE,33.91
76,8.28,3,level1,4.2,159,100,v,TRUE,32.07
77,10,4.8,level3,7.8,248,6561,v,FALSE,56.48
78,4.68,3.4,level2,5.4,287,100,lv,FALSE,46.55
79,9.45,3.6,level3,7.1,217,4197,a,FALSE,53.12
80,6.06,1.2,level1,8.2,254,100,rv,FALSE,46.6
81,8.14,2.8,level4,7.3,267,4783,lv,TRUE,52.31
82,2.04,2.9,level1,7.8,244,7485,rv,FALSE,44.38
83,8.34,1.5,level1,2.7,161,100,a,FALSE,39.15
84,10,2.7,level4,4.1,167,3484,rv,FALSE,57.07
85,10,5.5,level3,6.9,245,100,a,TRUE,37.85
86,1.92,1,level4,4.6,137,2819,lv,TRUE,39.89
87,8.8,3.3,level4,5.2,170,2772,a,TRUE,39.4
88,4.63,0.9,level4,8.1,174,3328,a,FALSE,54.57
89,8.76,3,level3,6.2,24,7282,v,FALSE,53.2
90,5.95,0.9,level1,6.1,216,100,v,TRUE,34.31
91,5.67,3.4,level2,5.6,240,8197,rv,FALSE,51.27
92,9.4,0.6,level3,3.6,177,100,rv,FALSE,51.17
93,9.65,2.5,level3,3.2,362,100,v,TRUE,40.97
94,7.78,4.5,level3,5.7,165,12230,lv,FALSE,57.63
95,8.52,2.2,level1,6.5,241,5282,rv,FALSE,50.23
96,8.18,2.3,level4,4,236,5017,rv,FALSE,56.24
97,7.78,4.6,level3,3.3,261,4356,v,TRUE,40.09
98,7.03,5.6,level4,7.9,225,156,a,FALSE,48.58
99,10,6.2,level4,6.8,164,6243,v,FALSE,56.24
100,9.51,1.9,level2,6.7,239,8380,v,FALSE,57.7
101,9.84,0.9,level2,7.4,208,100,a,FALSE,49.42
102,10,3.5,level4,6.8,207,100,rv,FALSE,55.37
103,8.86,3.2,level3,4.4,255,100,a,FALSE,46.61
104,6.05,4.4,level4,7.9,260,3829,rv,FALSE,56.15
105,2.31,2.7,level2,4.1,182,100,v,FALSE,39.53
106,4.71,2.7,level3,5.3,144,413,a,FALSE,42.75
107,3.19,4.8,level4,6.5,316,100,rv,FALSE,48.05
108,5.47,2.7,level2,6.4,188,100,v,FALSE,45.05
109,4.57,3.5,level2,6.9,145,100,rv,TRUE,33.42
110,5.88,3.2,level2,7.3,88,7052,lv,FALSE,51.86
111,2.57,2.4,level3,4.8,210,100,a,FALSE,41.07
112,4.18,1.7,level4,4.1,222,226,rv,FALSE,48.8
113,8.09,2,level2,4.2,69,8660,rv,TRUE,41.98
114,7.52,0,level4,6.9,48,100,rv,FALSE,54.9
115,5.05,4.4,level4,5.3,201,100,v,TRUE,37.96
116,10,0.1,level4,6.6,101,100,v,FALSE,57.51
117,0.1,1.6,level4,7.8,318,100,v,FALSE,49.48
118,8.6,1.9,level2,5,72,2952,v,FALSE,46.42
119,10,4.3,level2,7.4,28,100,v,FALSE,47.38
120,5.04,2.6,level4,5,176,100,rv,FALSE,49.2
121,8.22,3.9,level4,6.9,230,280,v,FALSE,53.52
122,4.43,2.1,level4,6.1,199,4183,lv,FALSE,57.42
123,6.58,5,level4,4.7,171,100,rv,FALSE,47.99
124,9.93,3.2,level3,7.4,221,6205,v,FALSE,57.34
125,3.01,3.3,level3,7.1,106,4738,a,FALSE,45.87
126,4.45,3.8,level3,4.7,206,8702,a,TRUE,38.41
127,8.8,0.3,level1,6.1,100,100,lv,FALSE,49.6
128,8.33,2.5,level3,9.8,103,3313,lv,FALSE,60.66
129,9.89,2.8,level2,4.9,194,100,lv,TRUE,40.93
130,10,1.3,level1,5.7,224,100,a,FALSE,44.64
131,9.75,2.5,level1,8.1,96,100,a,FALSE,44.31
132,2.36,1.4,level1,4.3,28,6577,a,FALSE,37.54
133,7.28,2.8,level4,9.6,80,100,rv,FALSE,54.88
134,5.07,0,level3,5,15,4273,lv,FALSE,54.22
135,6.64,2.9,level4,5.2,196,100,lv,TRUE,43.9
136,10,1.5,level2,5.9,241,100,rv,FALSE,50.81
137,7.77,3.9,level2,7.6,363,8505,v,FALSE,56.1
138,7.29,0,level2,10,94,1735,rv,TRUE,42.23
139,6.19,2.6,level1,6.7,136,2867,rv,FALSE,42.65
140,8.25,2.2,level1,6.9,172,2173,lv,TRUE,38.67
141,1.95,3.9,level3,3.9,207,4463,a,FALSE,42.02
142,4.98,0.1,level4,6.2,103,8575,rv,FALSE,59.11
143,10,1.7,level4,2.5,276,1510,rv,TRUE,43.56
144,9.13,3.6,level1,5.6,145,7305,a,FALSE,44.58
145,2.82,3.4,level4,8.2,282,100,lv,FALSE,53.44
146,1.75,3,level1,5.7,20,4351,v,FALSE,39.65
147,2.83,2.9,level4,5.9,167,3314,v,TRUE,41.5
148,8.99,0,level4,6.1,218,2104,lv,FALSE,60.27
149,8.4,3.8,level1,5.8,134,1835,a,FALSE,39.74
150,4.39,2.8,level4,6.2,135,100,a,FALSE,46.14
151,5.19,0,level4,3.7,119,100,a,FALSE,47.08
152,10,2.2,level4,5.3,193,6678,a,FALSE,56.03
153,5.44,3.9,level1,5.5,309,267,rv,FALSE,41.13
154,6.43,3.6,level2,6.9,81,7107,a,TRUE,35.54
155,8.08,1.6,level2,6.3,173,100,rv,FALSE,48.51
156,5.94,3.9,level4,4.9,135,100,lv,FALSE,51.29
157,3.73,1.9,level4,7.3,324,8433,v,FALSE,59.37
158,5.01,3.1,level4,7.8,365,708,a,TRUE,40.36
159,2.34,3.9,level2,4.1,233,7286,lv,FALSE,45.87
160,8.54,3.1,level3,6.3,190,100,a,TRUE,37.64
161,10,1.5,level3,4.9,320,2990,a,FALSE,50.6
162,7.64,3.7,level3,5.1,137,100,rv,FALSE,47.41
163,9.92,4.7,level1,6.6,177,10970,rv,FALSE,51.59
164,4.06,1.1,level3,7.3,288,7738,v,TRUE,44.14
165,6.11,2.2,level3,6.6,194,4001,a,FALSE,50.45
166,6.12,4,level4,5.2,135,100,v,FALSE,48.67
167,0.94,1.2,level2,7.7,201,6118,a,TRUE,34.45
168,7.02,0,level3,7.5,138,4808,a,FALSE,53.9
169,8.58,1.8,level4,4.5,365,100,a,TRUE,41.93
170,9.4,4.1,level3,6.5,145,7140,rv,FALSE,54.25
171,10,0.5,level1,4.3,277,5485,a,TRUE,38.57
172,0.78,2.1,level4,8.2,183,262,v,FALSE,48.71
173,9.14,3.9,level1,6.4,316,12760,rv,FALSE,52.8
174,9.53,2.6,level4,7.6,276,5964,lv,TRUE,54.29
175,5.83,3.4,level2,6.6,118,100,a,FALSE,41.21
176,9.08,4.9,level2,5.8,211,5856,lv,FALSE,53.09
177,1.01,3.9,level2,7.1,168,3246,v,FALSE,43.89
178,7.52,3.4,level4,4.3,233,325,v,TRUE,40.75
179,0,3.2,level1,3.9,178,100,v,FALSE,33.48
180,7.91,0.8,level4,5.1,230,100,a,TRUE,41.51
181,10,3.8,level3,6.4,171,1321,v,FALSE,51.31
182,10,3.3,level2,5.4,279,4817,a,FALSE,49.89
183,0,3.1,level1,5.3,214,2963,rv,FALSE,35.34
184,8.81,2.6,level1,7.4,51,2334,a,TRUE,32.12
185,5.27,0.6,level1,5.2,181,8766,a,FALSE,46.68
186,6.57,2.7,level3,7.5,149,936,a,TRUE,36.86
187,0,4.4,level3,4.8,295,100,rv,FALSE,40.35
188,8.21,1.6,level4,5.6,68,100,lv,FALSE,55.89
189,4.56,0,level4,4.8,15,279,rv,FALSE,49.51
190,8.16,5.3,level1,5.4,230,100,rv,FALSE,41.56
191,5.9,1.7,level2,4.3,277,100,lv,FALSE,48.27
192,2.56,4.2,level3,6.7,228,4177,lv,FALSE,51.34
193,8,3.4,level1,7.8,318,5158,v,FALSE,50.58
194,9.05,5,level4,6.4,273,100,v,TRUE,43.18
195,6.88,2.4,level4,8.6,90,3381,v,FALSE,57.98
196,8.94,2,level4,3.5,276,100,lv,FALSE,56.2
197,4.81,5.1,level4,4.9,124,100,lv,FALSE,48.85
198,10,5.7,level3,6.8,294,4221,lv,TRUE,48.04
199,5.23,3,level1,7,282,3291,a,FALSE,44.05
200,4.35,2.8,level3,6.5,178,100,lv,FALSE,49.83
201,10,3.6,level4,8.6,290,100,a,TRUE,44.9
202,10,1.5,level2,8.5,156,3917,v,FALSE,56.56
203,9.39,3.2,level2,3.8,284,100,a,TRUE,33.83
204,7.55,1,level3,5.4,15,100,lv,FALSE,52.1
205,10,2.1,level1,3.8,78,8116,v,FALSE,50.48
206,2.62,3.7,level2,4.5,198,2002,v,TRUE,29.4
207,10,1.4,level1,6.4,132,100,rv,TRUE,37.32
208,10,3.8,level2,6.5,15,100,a,FALSE,43.85
209,6.89,3.3,level1,4.8,99,4787,rv,FALSE,44.38
210,9.01,4.7,level2,6.5,344,100,lv,FALSE,51.25
211,9.11,5.7,level3,4.9,62,1684,v,FALSE,45.93
212,10,1.6,level1,6.4,200,7151,v,FALSE,51.8
213,3.23,3.1,level4,6.2,134,102,a,FALSE,44.67
214,10,4.8,level2,5.6,185,6356,rv,TRUE,40.65
215,0,2.8,level2,4.6,165,100,v,FALSE,37.45
216,10,1.5,level1,5.3,169,100,v,FALSE,46.49
217,4.38,1,level2,6.7,171,2836,v,FALSE,45.79
218,5.4,4.6,level2,5.3,15,7152,v,FALSE,44.25
219,7.7,6.4,level1,5.5,183,100,rv,FALSE,39.63
220,1.67,0.9,level3,4.4,196,100,rv,TRUE,34.13
